transaction_id,order_date,ship_date,customer_id,product_sku,store_id,quantity,unit_price,gross_sales,discount_rate,discount_amount,net_sales,total_cost,shipping_cost,profit,profit_margin_pct,order_status_raw,order_status_clean_reference,payment_method_raw,payment_method_clean_reference,shipping_mode_raw,shipping_mode_clean_reference,promo_name_raw,sales_rep_raw,customer_rating,data_quality_note
TRX-005108,2025-05-14,2025-05-16,CUST-00015,SKU-0033,STR-014,3,88.38,265.13,0.0,0.0,265.13,203.84,23.22,38.07,14.36,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,Jamie Wilson,4,
TRX-000972,2024-08-04,2024-08-08,CUST-00997,SKU-0157,STR-018,1,237.86,237.86,0.0,0.0,237.86,171.94,21.01,44.91,18.88,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,,5,
TRX-005848,2024-09-24,2024-09-26,CUST-00616,SKU-0015,STR-049,1,602.56,602.56,0.0,0.0,602.56,475.24,17.41,109.91,18.24,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Jordan Lewis,4,
TRX-009398,2024-03-25,2024-03-28,CUST-00095,SKU-0141,STR-062,1,473.33,473.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled,cash,Cash,Standard,Standard,No Promo,Morgan Clark,2,
TRX-002462,2025-11-18,2025-11-25,CUST-00403,SKU-0055,STR-070,4,288.23,1152.91,0.2,230.58,-922.33,-638.34,37.47,-395.25,0.0,Returned,Returned,Debit Card,Debit Card,Standard,Standard, Black Friday ,,5,
TRX-006481,2025-02-18,2025-02-21,CUST-02550,SKU-0041,STR-037,2,1154.3,2308.59,0.0,0.0,2308.59,1606.12,24.59,677.88,29.36,Done,Completed,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,,5,
TRX-005741,2025-06-05,2025-06-10,CUST-01773,SKU-0163,STR-008,1,1184.96,1184.96,0.0,0.0,1184.96,1006.5,22.74,155.72,13.14,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,Jamie Wilson,5,
TRX-007964,2024-12-21,2024-12-28,CUST-01138,SKU-0177,STR-039,1,1800.76,1800.76,0.05,90.04,1710.72,1616.61,20.75,73.36,4.29,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Black Friday,Riley Adams,4,
TRX-000119,2024-04-12,2024-04-17,CUST-00390,SKU-0126,STR-068,2,538.07,1076.14,0.0,0.0,1076.14,803.62,20.05,252.47,23.46,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Jordan Lewis,5,
TRX-007911,2024-12-02,2024-12-07,CUST-01512,SKU-0189,STR-075,3,376.55,1129.65,0.15,169.45,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled,Credit Card,Credit Card,Standard,Standard,Black Friday,Riley Adams,3,
TRX-001538,2025-02-15,2025-02-19,CUST-01628,SKU-0055,STR-057,1,287.07,287.07,0.0,0.0,287.07,216.26,30.06,40.75,14.2,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,First Class,First Class,No Promo,Jamie Wilson,3,
TRX-003734,2024-07-07,2024-07-11,CUST-01066,SKU-0049,STR-064,2,1052.95,2105.89,0.1,210.59,1895.3,1596.62,27.8,270.88,14.29,Done,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,Clearance Sale,Jordan Lewis,4,
TRX-009301,2024-08-08,2024-08-15,CUST-00401,SKU-0153,STR-084,1,202.94,202.94,0.0,0.0,202.94,125.99,26.12,50.83,25.05,Completed,Completed,Cash,Cash,Second Class,Second Class,No Promo,Morgan Clark,5,
TRX-003522,2025-05-12,2025-05-15,CUST-01506,SKU-0192,STR-028,1,247.97,247.97,0.0,0.0,247.97,137.84,33.47,76.66,30.92,COMPLETED,Completed,Buy Now Pay Later,Buy Now Pay Later,First Class,First Class,No Promo,Jamie Wilson,4,check_status
TRX-011300,2025-03-01,2025-03-06,CUST-01861,SKU-0153,STR-009,1,222.48,222.48,0.0,0.0,222.48,133.5,27.99,60.99,27.41,Completed,Completed,PayPal,PayPal,Second Class,Second Class,No Promo,,5,check_status
TRX-002894,2024-01-29,2024-02-01,CUST-02527,SKU-0011,STR-006,2,1789.74,3579.47,0.0,0.0,3579.47,2359.89,33.65,1185.93,33.13,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Second Class,Second Class,No Promo,Riley Adams,4,
TRX-011385,2024-12-12,2024-12-15,CUST-02182,SKU-0062,STR-033,5,320.75,1603.77,0.05,80.19,1523.58,1075.79,24.5,423.29,27.78,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,standard,Standard,cyber week,Jamie Wilson,5,
TRX-007844,2024-12-20,2024-12-27,CUST-01385,SKU-0197,STR-032,1,258.68,258.68,0.15,38.8,219.88,185.85,33.4,0.63,0.29,Completed,Completed,PAYPAL,PayPal,First Class,First Class,Holiday Deals,,4,
TRX-002803,2025-05-31,2025-06-04,CUST-02375,SKU-0103,STR-066,2,275.87,551.73,0.0,0.0,551.73,390.79,20.01,140.93,25.54,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Morgan Clark,3,
TRX-007280,2025-11-30,2025-12-01,CUST-00907,SKU-0009,STR-087,5,916.29,4581.44,0.2,916.29,3665.15,2626.42,38.79,999.94,27.28,Completed,Completed,PayPal,PayPal,standard,Standard,Black Friday,Jordan Lewis,3,
TRX-011175,2025-06-21,2025-06-25,CUST-01272,SKU-0094,STR-031,1,766.11,766.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANCELLED,Cancelled,Buy Now Pay Later,Buy Now Pay Later,standard,Standard,No Promo,Jordan Lewis,5,
TRX-008288,2024-08-26,2024-08-27,CUST-02176,SKU-0130,STR-038,2,1597.83,3195.66,0.0,0.0,3195.66,2621.98,46.07,527.61,16.51,Completed,Completed,PayPal,PayPal,same day,Same Day,No Promo,Alex Reed,4,possible_duplicate
TRX-007460,2025-03-22,2025-03-25,CUST-00982,SKU-0051,STR-041,1,906.96,906.96,0.0,0.0,-906.96,-401.86,20.44,-598.1,0.0,Returned,Returned,Debit Card,Debit Card,Standard,Standard, No Promo ,Jordan Lewis,5,
TRX-011525,2024-03-14,2024-03-15,CUST-00390,SKU-0162,STR-066,1,2158.75,2158.75,0.0,0.0,2158.75,1369.34,20.53,768.88,35.62,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Alex Reed,3,
TRX-004894,2024-03-23,2024-03-30,CUST-00043,SKU-0193,STR-004,1,296.94,296.94,0.03,8.91,288.03,189.34,19.97,78.72,27.33,Done,Completed,Debit Card,Debit Card,Standard,Standard, Flash Sale ,Taylor Brooks,4,standardize_text
TRX-000179,2024-07-19,2024-07-22,CUST-02305,SKU-0163,STR-053,1,1113.04,1113.04,0.1,111.3,1001.74,988.32,19.7,-6.28,-0.63,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,Summer Sale,,4,
TRX-010237,2024-12-28,2025-01-04,CUST-02060,SKU-0136,STR-011,1,1393.3,1393.3,0.1,139.33,1253.97,1062.44,27.27,164.26,13.1,Completed,Completed,Cash,Cash,Second Class,Second Class,holiday deals,Morgan Clark,5,
TRX-004783,2024-09-07,2024-09-14,CUST-01932,SKU-0040,STR-073,1,109.49,109.49,0.0,0.0,109.49,84.03,22.26,3.2,2.92,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Morgan Clark,1,trim_spaces
TRX-006589,2025-08-06,2025-08-08,CUST-00625,SKU-0068,STR-008,4,105.34,421.37,0.0,0.0,421.37,276.0,25.37,120.0,28.48,done,Completed,Bank Transfer,Bank Transfer,Standard,Standard,No Promo,Taylor Brooks,5,
TRX-009934,2024-03-22,2024-03-27,CUST-02446,SKU-0077,STR-063,1,110.27,110.27,0.0,0.0,110.27,73.19,26.15,10.93,9.91,Completed,Completed,Cash,Cash,Second Class,Second Class,No Promo,Alex Reed,2,
TRX-011043,2025-08-24,2025-08-27,CUST-00291,SKU-0002,STR-009,2,767.0,1533.99,0.0,0.0,1533.99,1000.84,25.7,507.45,33.08,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,Morgan Clark,5,check_status
TRX-005273,2025-12-22,2025-12-23,CUST-02510,SKU-0086,STR-034,4,1066.86,4267.44,0.2,853.49,3413.95,2631.55,37.25,745.15,21.83,Completed,Completed,Credit Card,Credit Card, Second Class ,Second Class,Holiday Deals,Morgan Clark,4,
TRX-000046,2025-12-06,2025-12-07,CUST-01705,SKU-0048,STR-064,1,1191.27,1191.27,0.25,297.82,893.45,980.88,21.76,-109.19,-12.22,Completed,Completed,Cash,Cash,Standard,Standard,Holiday Deals,Taylor Brooks,3,
TRX-000400,2025-07-20,2025-07-21,CUST-01860,SKU-0104,STR-050,1,279.18,279.18,0.05,13.96,265.22,209.74,22.92,32.56,12.28,Completed,Completed,bank transfer,Bank Transfer, Second Class ,Second Class,Summer Sale,Taylor Brooks,4,
TRX-003640,2025-12-05,2025-12-09,CUST-01571,SKU-0191,STR-020,2,178.28,356.56,0.2,71.31,285.25,207.14,26.45,51.66,18.11,Completed,Completed,Debit,Debit Card,Standard,Standard,Cyber Week,Jordan Lewis,3,
TRX-006353,2025-06-02,2025-06-05,CUST-02339,SKU-0125,STR-017,1,2139.47,2139.47,0.0,0.0,2139.47,1485.3,21.96,632.21,29.55,Completed,Completed,Credit Card,Credit Card,Standard,Standard, No Promo ,Morgan Clark,5,
TRX-007260,2024-08-22,2024-08-29,CUST-00343,SKU-0072,STR-030,1,107.08,107.08,0.0,0.0,107.08,89.37,33.91,-16.2,-15.13,Done,Completed,Bank Transfer,Bank Transfer,First Class,First Class,No Promo,Jordan Lewis,5,
TRX-003095,2024-10-17,2024-10-19,CUST-01435,SKU-0169,STR-018,2,1574.95,3149.9,0.1,314.99,2834.91,2153.93,27.18,653.8,23.06,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Member Discount,Jamie Wilson,3,
TRX-012214,2024-09-15,2024-09-19,CUST-02340,SKU-0126,STR-072,2,584.52,1169.05,0.0,0.0,1169.05,817.5,24.89,326.66,27.94,COMPLETED,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Jordan Lewis,4,check_status
TRX-003379,2024-01-03,2024-01-08,CUST-02347,SKU-0022,STR-066,4,311.37,1245.46,0.03,37.36,1208.1,918.17,29.56,260.37,21.55,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,Weekend Deal,Morgan Clark,4,
TRX-002216,2025-10-21,2025-10-23,CUST-02340,SKU-0175,STR-089,2,927.96,1855.93,0.0,0.0,1855.93,1311.54,41.35,503.04,27.1,Completed,Completed, Transfer ,Bank Transfer,First Class,First Class,No Promo,Morgan Clark,4,
TRX-011802,2025-08-25,2025-08-26,CUST-01421,SKU-0118,STR-059,1,262.95,262.95,0.0,0.0,262.95,210.47,17.94,34.54,13.14,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Casey Hill,5,
TRX-006046,2025-02-03,2025-02-04,CUST-00415,SKU-0135,STR-015,1,912.45,912.45,0.0,0.0,912.45,607.38,34.07,271.0,29.7,Completed,Completed,Credit Card,Credit Card,First Class,First Class,No Promo,,1,
TRX-008438,2024-06-20,2024-06-23,CUST-02098,SKU-0116,STR-035,3,1031.68,3095.05,0.0,0.0,3095.05,2538.55,56.45,500.05,16.16,Completed,Completed,Bank Transfer,Bank Transfer,Same Day,Same Day,No Promo,,5,
TRX-008964,2024-12-29,2025-01-02,CUST-02482,SKU-0177,STR-052,2,1884.96,3769.93,0.25,942.48,2827.45,3073.66,22.57,-268.78,-9.51,Completed,Completed,Pay Later,Buy Now Pay Later,Standard,Standard,Cyber Week,Morgan Clark,4,
TRX-007702,2024-12-08,2024-12-10,CUST-02432,SKU-0085,STR-081,1,1508.93,1508.93,0.1,150.89,1358.04,1017.08,20.76,320.2,23.58,Completed,Completed,Credit Card,Credit Card,Standard,Standard,Holiday Deals,Taylor Brooks,4,standardize_text
TRX-011619,2024-12-19,2024-12-22,CUST-02189,SKU-0024,STR-026,1,575.0,575.0,0.25,143.75,431.25,459.37,18.15,-46.27,-10.73,Completed,Completed,PAYPAL,PayPal,Standard,Standard,Black Friday,,5,
TRX-006393,2025-02-25,2025-02-26,CUST-01888,SKU-0057,STR-056,1,214.95,214.95,0.0,0.0,-214.95,-102.61,17.89,-147.43,0.0,Return,Returned,Buy Now Pay Later,Buy Now Pay Later,STD,Standard,No Promo,Jordan Lewis,5,
TRX-000606,2024-07-12,2024-07-19,CUST-00852,SKU-0185,STR-055,3,279.72,839.17,0.1,83.92,755.25,551.25,27.06,176.94,23.43,COMPLETED,Completed, Transfer ,Bank Transfer,Standard,Standard,Clearance Sale,Taylor Brooks,4,
TRX-011713,2025-12-20,2025-12-25,CUST-00917,SKU-0114,STR-088,2,431.99,863.98,0.15,129.6,734.38,553.42,34.23,146.73,19.98,Completed,Completed,Debit Card,Debit Card,Second Class,Second Class,Holiday Deals,Jamie Wilson,1,
TRX-002431,2024-09-17,2024-09-19,CUST-00531,SKU-0171,STR-041,1,2772.64,2772.64,0.03,83.18,0.0,0.0,0.0,0.0,0.0,Cancelled,Cancelled,Credit Card,Credit Card,2nd Class,Second Class,Weekend Deal,Casey Hill,5,
TRX-000822,2024-09-02,2024-09-07,CUST-00397,SKU-0197,STR-087,2,225.6,451.21,0.0,0.0,451.21,371.5,37.09,42.62,9.45,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,First Class,First Class,No Promo,Alex Reed,4,check_status
TRX-000115,2024-03-26,2024-03-30,CUST-01808,SKU-0059,STR-057,2,202.89,405.78,0.0,0.0,405.78,273.56,24.76,107.46,26.48,Completed,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Jamie Wilson,4,
TRX-011311,2025-09-06,2025-09-11,CUST-02450,SKU-0158,STR-013,4,126.62,506.5,0.0,0.0,506.5,441.08,41.19,24.23,4.78,Completed,Completed,PayPal,PayPal, Second Class ,Second Class, No Promo ,Jordan Lewis,5,
TRX-011835,2024-08-30,2024-09-03,CUST-00614,SKU-0040,STR-014,1,116.98,116.98,0.08,9.36,107.62,85.47,20.97,1.18,1.1,Completed,Completed,PayPal,PayPal,Standard,Standard,Weekend Deal,Riley Adams,5,
TRX-008102,2024-03-30,2024-04-06,CUST-02140,SKU-0024,STR-037,1,556.05,556.05,0.0,0.0,556.05,444.48,31.79,79.78,14.35,Completed,Completed,Debit Card,Debit Card,First Class,First Class,No Promo,Morgan Clark,5,
TRX-008554,2025-11-13,2025-11-20,CUST-01743,SKU-0035,STR-076,2,73.58,147.16,0.25,36.79,110.37,119.21,23.36,-32.2,-29.17,Completed,Completed,PayPal,PayPal,standard,Standard,Cyber Week,Taylor Brooks,5,
TRX-010172,2025-08-25,2025-08-28,CUST-00182,SKU-0105,STR-062,3,541.23,1623.69,0.0,0.0,1623.69,914.12,29.57,680.0,41.88,Completed,Completed,PayPal,PayPal,standard,Standard,No Promo,Riley Adams,5,
TRX-004117,2024-11-21,2024-11-23,CUST-00308,SKU-0132,STR-083,2,880.8,1761.6,0.2,352.32,1409.28,1330.73,21.43,57.12,4.05,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,Cyber Week,Morgan Clark,4,standardize_text
TRX-000709,2024-11-08,2024-11-12,CUST-00795,SKU-0017,STR-058,1,540.68,540.68,0.2,108.14,432.54,327.89,25.97,78.68,18.19,completed,Completed,cash,Cash,Second Class,Second Class,Black Friday,Casey Hill,4,
TRX-006579,2024-07-22,2024-07-24,CUST-00207,SKU-0025,STR-046,1,274.55,274.55,0.05,13.73,260.82,187.35,32.14,41.33,15.85,Completed,Completed,debit,Debit Card,First Class,First Class,Summer Sale,Morgan Clark,5,
TRX-004107,2024-03-15,2024-03-16,CUST-01198,SKU-0161,STR-053,1,1837.24,1837.24,0.0,0.0,1837.24,1158.11,16.58,662.55,36.06,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,,4,
TRX-008462,2024-03-26,2024-03-30,CUST-02491,SKU-0131,STR-062,1,362.65,362.65,0.0,0.0,362.65,279.66,18.85,64.14,17.69,Completed,Completed,PayPal,PayPal,Standard,Standard,No Promo,,4,
TRX-004361,2024-09-17,2024-09-18,CUST-01654,SKU-0063,STR-009,1,560.43,560.43,0.0,0.0,560.43,375.55,29.7,155.18,27.69,Done,Completed, Transfer ,Bank Transfer,Second Class,Second Class,No Promo,Jamie Wilson,4,standardize_text
TRX-012260,2024-06-18,2024-06-23,CUST-01373,SKU-0090,STR-065,1,1220.25,1220.25,0.0,0.0,1220.25,872.53,47.11,300.61,24.64,Completed,Completed,Wire Transfer,Bank Transfer,Same Day,Same Day,No Promo,Jordan Lewis,5,standardize_text
TRX-008895,2024-02-27,2024-03-05,CUST-01655,SKU-0080,STR-004,1,146.67,146.67,0.08,11.73,134.94,102.4,23.15,9.39,6.96,Completed,Completed,Cash,Cash,standard,Standard,Member Discount,Casey Hill,5,
TRX-008568,2025-11-10,2025-11-14,CUST-00142,SKU-0077,STR-087,4,92.57,370.27,0.2,74.05,296.22,299.62,27.19,-30.59,-10.33,Completed,Completed,Debit Card,Debit Card,second class,Second Class,Holiday Deals,Jamie Wilson,5,check_status
TRX-006128,2024-10-27,2024-10-28,CUST-01989,SKU-0066,STR-036,1,140.91,140.91,0.0,0.0,-140.91,-68.23,19.8,-103.75,0.0,Returned,Returned,Cash,Cash,Standard,Standard,No Promo,Riley Adams,4,
TRX-011949,2025-07-18,2025-07-22,CUST-00319,SKU-0048,STR-071,1,1316.58,1316.58,0.1,131.66,1184.92,1010.14,29.2,145.58,12.29,Completed,Completed,Debit Card,Debit Card,Second Class,Second Class,Clearance Sale,Morgan Clark,3,
TRX-004182,2025-06-21,2025-06-26,CUST-00326,SKU-0153,STR-088,1,208.47,208.47,0.0,0.0,208.47,130.28,21.37,56.82,27.26, Completed ,Completed,Debit Card,Debit Card,Standard,Standard,No Promo,Morgan Clark,3,
TRX-003882,2024-01-16,2024-01-17,CUST-00849,SKU-0103,STR-049,1,254.69,254.69,0.0,0.0,254.69,199.8,23.09,31.8,12.49,Completed,Completed,Credit Card,Credit Card,Second Class,Second Class,No Promo,,4,possible_duplicate
TRX-003000,2024-08-01,2024-08-04,CUST-00515,SKU-0016,STR-070,2,1077.06,2154.12,0.0,0.0,2154.12,1506.86,26.23,621.03,28.83,Completed,Completed,Credit Card,Credit Card,Standard,Standard,No Promo,Riley Adams,5,trim_spaces
TRX-002948,2024-04-04,2024-04-05,CUST-02404,SKU-0185,STR-029,1,275.26,275.26,0.0,0.0,275.26,182.11,19.43,73.72,26.78,Done,Completed,Debit Card,Debit Card, Standard ,Standard,no promo,Taylor Brooks,5,
TRX-002076,2024-11-07,2024-11-08,CUST-00975,SKU-0068,STR-074,1,90.97,90.97,0.1,9.1,81.87,67.36,19.39,-4.88,-5.96,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,Black Friday,Morgan Clark,5,
TRX-011545,2025-04-02,2025-04-04,CUST-01938,SKU-0124,STR-071,3,2737.62,8212.86,0.0,0.0,8212.86,4887.72,27.04,3298.1,40.16,Completed,Completed,Pay Later,Buy Now Pay Later,Standard,Standard,no promo,Jamie Wilson,1,
TRX-002350,2025-11-28,2025-11-29,CUST-00173,SKU-0118,STR-005,1,270.34,270.34,0.15,40.55,229.79,210.06,19.68,0.05,0.02,Completed,Completed,Debit Card,Debit Card,Standard,Standard,Cyber Week,Casey Hill,4,check_status
TRX-003940,2025-11-06,2025-11-07,CUST-02366,SKU-0189,STR-088,1,374.85,374.85,0.1,37.49,337.36,237.77,35.19,64.4,19.09,completed,Completed,CC,Credit Card,First Class,First Class,Cyber Week,Jamie Wilson,4,trim_spaces
TRX-001497,2025-12-11,2025-12-12,CUST-01889,SKU-0059,STR-060,1,230.82,230.82,0.15,34.62,196.2,133.43,23.05,39.72,20.24,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later, Second Class ,Second Class,Holiday Deals,Riley Adams,4,
TRX-008743,2025-09-18,2025-09-22,CUST-02062,SKU-0099,STR-057,1,823.57,823.57,0.0,0.0,823.57,618.51,19.33,185.73,22.55,Completed,Completed,Cash,Cash,Standard,Standard, No Promo ,,4,possible_duplicate
TRX-008504,2025-02-19,2025-02-21,CUST-01874,SKU-0197,STR-016,1,255.68,255.68,0.0,0.0,255.68,183.04,20.31,52.33,20.47,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later,Standard,Standard,No Promo,,5,
TRX-008540,2025-11-20,2025-11-25,CUST-00450,SKU-0167,STR-007,1,628.88,628.88,0.2,125.78,503.1,427.09,21.98,54.03,10.74,Completed,Completed,Buy Now Pay Later,Buy Now Pay Later, Standard ,Standard,Cyber Week,Alex Reed,4,check_status
TRX-000661,2024-11-13,2024-11-16,CUST-01228,SKU-0065,STR-033,3,336.78,1010.34,0.25,252.59,757.75,601.02,57.77,98.96,13.06,Complete,Completed,PayPal,PayPal,Same Day,Same Day, Holiday Deals ,Jordan Lewis,5,duplicate_transaction_id
TRX-001980,2025-02-07,2025-02-10,CUST-01378,SKU-0027,STR-077,1,582.4,582.4,0.0,0.0,582.4,441.48,21.38,119.54,20.53,COMPLETED,Completed,Cash,Cash, Standard ,Standard,No Promo,Alex Reed,5,trim_spaces
TRX-011539,2025-10-01,2025-10-03,CUST-01009,SKU-0100,STR-057,1,705.2,705.2,0.0,0.0,705.2,464.26,18.47,222.47,31.55,Completed,Completed,Cash,Cash,Standard,Standard,No Promo,Jamie Wilson,5,
TRX-005704,2024-07-26,2024-07-29,CUST-02395,SKU-0166,STR-037,1,1923.16,1923.16,0.15,288.47,1634.69,1204.18,45.4,385.11,23.56,Done,Completed,PayPal,PayPal,Same Day,Same Day,clearance sale,Taylor Brooks,2,
TRX-009724,2024-08-28,2024-08-31,CUST-00179,SKU-0018,STR-035,1,1662.11,1662.11,0.0,0.0,1662.11,1425.44,17.74,218.93,13.17,Completed,Completed,paylater,Buy Now Pay Later,Standard,Standard,No Promo,Casey Hill,5,
TRX-002756,2025-02-14,2025-02-21,CUST-01447,SKU-0077,STR-089,1,103.01,103.01,0.0,0.0,103.01,71.86,32.42,-1.27,-1.23,Completed,Completed,Cash,Cash, First Class ,First Class,No Promo,Jamie Wilson,3,
TRX-003690,2024-10-05,2024-10-10,CUST-01564,SKU-0084,STR-045,2,2291.03,4582.06,0.0,0.0,4582.06,2691.7,26.42,1863.94,40.68, Completed ,Completed,credit card,Credit Card,Second Class,Second Class,No Promo,Casey Hill,4,
TRX-007802,2024-11-27,2024-12-02,CUST-01286,SKU-0191,STR-087,3,179.01,537.02,0.15,80.55,456.47,317.9,25.29,113.28,24.82,Completed,Completed,PAYPAL,PayPal,Standard,Standard,Black Friday,Jamie Wilson,5,
TRX-001500,2025-12-05,2025-12-07,CUST-02096,SKU-0047,STR-028,4,1095.87,4383.46,0.1,438.35,3945.11,2506.25,43.06,1395.8,35.38,Completed,Completed, Credit Card ,Credit Card,First Class,First Class,Cyber Week,Taylor Brooks,1,
TRX-006965,2024-07-12,2024-07-17,CUST-02557,SKU-0079,STR-005,1,34.19,34.19,0.05,1.71,32.48,28.06,20.23,-15.81,-48.68,Completed,Completed,PayPal,PayPal,Standard,Standard,Summer Sale,Taylor Brooks,4,
TRX-002182,2025-11-17,2025-11-21,CUST-00755,SKU-0112,STR-048,1,798.4,798.4,0.25,199.6,598.8,612.53,17.67,-31.4,-5.24,Completed,Completed,Bank Transfer,Bank Transfer,Standard,Standard,Cyber Week,Casey Hill,4,
TRX-006884,2024-03-17,2024-03-19,CUST-01873,SKU-0018,STR-033,2,1862.73,3725.46,0.0,0.0,3725.46,2806.4,21.25,897.81,24.1,Completed,Completed,PayPal,PayPal, Standard ,Standard,No Promo,Jordan Lewis,4,
